,source,target,type,url,content
59,ville de Massy,XXII GROUP,a pour client,https://www.ugap.fr/xxii-f17412,
60,ville de Méru,VIZZIA,a pour client,https://mamot.fr/@LaQuadrature/113401936237955107,
61,ville de Metz,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
62,ville de Mézieux,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf,
63,ville de Montélimar,VIZZIA,a pour client,https://www.vizzia.com/nos-references|https://www.ugap.fr/editeurs-logiciels/alphaiota-vizzia-f31826,
64,ville de Montpellier,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
65,ville de Montrouge,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf,
66,ville de Morzine-Avoriaz,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
67,ville de Mulhouse,VIZZIA,a pour client,https://www.vizzia.com/nos-references,
68,ville de Mulhouse,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
69,ville de Nancy,IER,a pour client,https://www.ugap.fr/editeurs-logiciels/impression-enregistre-resultat-ier-f2137,
70,ville de Nice,IER,a pour client,https://www.ugap.fr/editeurs-logiciels/impression-enregistre-resultat-ier-f2137,
71,ville de Nice,WINTICS,a pour client,https://www.ugap.fr/bff/bff-fiche-fournisseur-prod/api/v1/fiches/23787/documents/17729/actions/telecharger,
72,ville de Nice,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
73,ville de Nime,WINTICS,a pour client,https://www.ugap.fr/bff/bff-fiche-fournisseur-prod/api/v1/fiches/23787/documents/17729/actions/telecharger,
74,ville de Nîmes,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
75,ville de Paris,IER,a pour client,https://www.ugap.fr/editeurs-logiciels/impression-enregistre-resultat-ier-f2137,
76,ville de Paris,VIZZIA,a pour client,https://www.vizzia.com/nos-references|https://www.ugap.fr/editeurs-logiciels/alphaiota-vizzia-f31826,
77,ville de Paris,WINTICS,a pour client,https://www.ugap.fr/bff/bff-fiche-fournisseur-prod/api/v1/fiches/23787/documents/17729/actions/telecharger,
78,ville de Pau,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
79,ville de Perret,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf,
80,ville de Pierrefitte,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf,
81,ville de Puteaux,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf,
82,ville de Quimper,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
83,ville de Rennes,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
84,ville de Roanne,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
85,ville de Rueil Malmaison,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf,
86,ville de Saint-Brieuc,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
87,ville de Saint­-Etienne,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
88,ville de Saint-Etienne,EQUANS,a pour client,https://www.ugap.fr/ineo-f19771,
89,ville de Saint-Maur-des-Fossés,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
90,ville de Saint-Tropez,VIZZIA,a pour client,https://www.vizzia.com/nos-references|https://www.ugap.fr/editeurs-logiciels/alphaiota-vizzia-f31826,
91,ville de Saint-Tropez,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
92,ville de Saint-Denis,TWO-I,est utilisé par,https://www.mediapart.fr/journal/france/300724/en-catimini-saint-denis-achete-un-logiciel-de-surveillance-algorithmique,
93,ville de Strasbourg,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
94,ville de Sucy en brie,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf,
95,ville de Suresnes,XXII GROUP,a pour client,https://www.leparisien.fr/hauts-de-seine-92/suresnes-92150/dans-les-rues-de-suresnes-l-intelligence-artificielle-prete-a-traquer-les-comportements-suspects-03-04-2021-8430581.php,
96,ville de Toulon,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
97,ville de Tourcoing,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
98,ville de Tremblay en France,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf,
99,ville de Troyes,IER,a pour client,https://www.ugap.fr/editeurs-logiciels/impression-enregistre-resultat-ier-f2137,
100,ville de Valbonne Sophia Antipolis,VIZZIA,a pour client,https://www.vizzia.com/nos-references,
101,ville de Valence,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
102,ville de Vannes,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
103,ville de Versailles,IER,a pour client,https://www.ugap.fr/editeurs-logiciels/impression-enregistre-resultat-ier-f2137,
104,ville de Vienne,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
105,ville de Villeneuve-sur-Lot,VIZZIA,a pour client,https://www.vizzia.com/nos-references,
106,ville de Villeurbanne,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
107,ville de Vincennes,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf,
108,ville d'Ollioules,VIZZIA,a pour client,https://www.vizzia.com/nos-references,
109,ville du Havre,VIZZIA,a pour client,https://www.ugap.fr/editeurs-logiciels/alphaiota-vizzia-f31826,
110,ville du Kremlin-Bicêtre,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf,
111,La défense,THALES,est utilisé par,https://www.defense-92.fr/securite/thales-veut-rendre-le-quartier-de-la-defense-plus-sur-avec-sa-solution-safe-city-51211,
112,ACEL GENESYS,AN2V,est membre,https://an2v.org/membres/,
113,ACTI,cameras,est fabriquant de,https://www.acti.com/technologies/face-recognition,
114,ACTIA,AN2V,est membre,https://an2v.org/membres/,
115,ACTIA,GICAT,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=344322722,
116,ACTIA,VMS - hyperviseur,fonctionnalité,,
